Stop_Order,Base,Map_Name,Location,Priority,Recommended_Time,Best_Time,How_To_Experience_CN,What_To_Look_For_CN,Story_Theme_CN,Autumn_Focus_CN,Practical_Tip_CN,Source_URL,Google_Maps_Search_URL
28,Grindelwald,Jungfraujoch Railway,"Jungfraujoch, Switzerland",Must if clear,5–7小时,最晴的一天早上,只有能见度高才上；重点看 Aletsch Glacier 和铁路工程。,冰川、Sphinx、高山雪世界。,20世纪初把铁路打进 Eiger/Mönch 山体，是 alpine tourism 的工程野心。,秋色在下方山谷，高处是雪冰对比。,贵且极吃天气。,https://www.jungfrau.ch/en-gb/,https://www.google.com/maps/search/?api=1&query=Jungfraujoch%2C%20Switzerland
28,Grindelwald,Matterhorn Views in Zermatt,"Zermatt, Switzerland",Optional,全天或住1晚,晴天,车停 Täsch，坐 shuttle 进无车 Zermatt，再选一个主要观景系统。,Matterhorn 锥形山体、无车村、冰川。,Matterhorn 因1865年首次登顶及下撤悲剧成为现代登山文化象征。,Valais 金松可非常漂亮。,它不在 Grindelwald，必须独立安排。,https://zermatt.swiss/en,https://www.google.com/maps/search/?api=1&query=Zermatt%2C%20Switzerland
28,Grindelwald,Grindelwald First Cliff Walk,"Grindelwald-First, Switzerland",Optional+,3–5小时,晴天下午,坐缆车上 First，走 Cliff Walk，再选轻量景观步道。,Eiger 正面、悬崖步道、草坡。,这里是“近距离看 Bernese Alps”的舞台，不是历史景点。,低海拔坡地可能仍有强秋色。,缆车运营受季节影响。,https://www.jungfrau.ch/en-gb/grindelwaldfirst/,https://www.google.com/maps/search/?api=1&query=Grindelwald-First%2C%20Switzerland
29,Chamonix,Aiguille du Midi,"Aiguille du Midi, Chamonix, France",Must if clear,3–4小时,第一个晴天早上,不同露台都走一遍，真正理解 Mont Blanc massif 的360度尺度。,Mont Blanc、冰川、巨大垂直落差。,缆车把过去需要 serious mountaineering 才能抵达的高度变成普通旅行者可体验的空间。,山下秋色与山上雪线同框。,注意高海拔反应和停运。,https://www.montblancnaturalresort.com/en/aiguille-du-midi,https://www.google.com/maps/search/?api=1&query=Aiguille%20du%20Midi%2C%20Chamonix%2C%20France
29,Chamonix,Mer de Glace,"Mer de Glace, Chamonix, France",Must,3–4小时,中午,坐 Montenvers 齿轨火车，特别看历史冰川高度标记和今天冰面的位置。,冰川退缩、山谷、老铁路。,这是最直观的气候变化现场之一：你用肉眼就能看到冰川从过去观景高度退到远下方。,低坡秋林与冰川形成强烈对比。,楼梯/垂直移动多。,https://www.montenvers.com/,https://www.google.com/maps/search/?api=1&query=Mer%20de%20Glace%2C%20Chamonix%2C%20France
29,Chamonix,Mont Blanc Panoramic Cable Car,"Panoramic Mont-Blanc, Chamonix, France",Optional,2–3小时,绝佳晴天,如果跨冰川缆车运营且天气稳定，才做；把它当“空中穿过高山地形”。,冰裂缝、雪峰、意法边境高山。,它把高山探索的空间感变成一种极端观景交通体验。,季节主要看雪冰，不看秋叶。,运营高度依赖季节与天气。,https://www.montblancnaturalresort.com/,https://www.google.com/maps/search/?api=1&query=Panoramic%20Mont-Blanc%2C%20Chamonix%2C%20France
31,Avignon,Palais des Papes,"Palais des Papes, Avignon, France",Must,2–3小时,上午,带着14世纪教廷迁到 Avignon 的背景看，不然巨大空房会显得单调。,厚墙、礼仪厅、城市全景。,这里曾经是整个西方教会政治中心。,室内主导。,用 audio guide。,https://avignon-tourisme.com/en/,https://www.google.com/maps/search/?api=1&query=Palais%20des%20Papes%2C%20Avignon%2C%20France
31,Avignon,Pont d'Avignon,"Pont Saint-Bénézet, Avignon, France",Must,45–60分钟,傍晚,既走桥，也从河岸看残桥。,断桥、Rhône、城墙。,桥为什么只剩一段，本身就说明 Rhône 河有多难控制。,河岸树色可加分。,与 Palais 同日。,https://avignon-tourisme.com/en/,https://www.google.com/maps/search/?api=1&query=Pont%20Saint-B%C3%A9n%C3%A9zet%2C%20Avignon%2C%20France
31,Avignon,Pont du Gard,"Pont du Gard, France",Optional+,2–3小时,下午,走到足够远的位置看完整三层拱，不要只站桥脚。,拱券比例、河谷、石砌精度。,它是 Roman aqueduct 系统的一段，真正的奇迹是长距离全靠重力送水。,河谷植被有秋色。,很适合自驾 detour。,https://pontdugard.fr/en,https://www.google.com/maps/search/?api=1&query=Pont%20du%20Gard%2C%20France
32,Collioure,Collioure Waterfront,"Collioure, France",Must,2–3小时,傍晚,沿 harbor、教堂、Château Royal 走，刻意看颜色关系。,赭色墙、蓝海、Pyrenees 山脚。,Matisse 和 Derain 在这里把现实色彩推到更大胆，帮助催生 Fauvism。,秋日太阳更柔和、人少。,留到 golden hour。,https://www.collioure.com/en/,https://www.google.com/maps/search/?api=1&query=Collioure%2C%20France
33,Barcelona,Sagrada Família,"Sagrada Família, Barcelona, Spain",Must,2–3小时,上午,Nativity 和 Passion 两个 façade 分开看，再进内部看柱子如何变成“石头森林”。,彩窗光、分叉柱、立面叙事。,Gaudí 想把结构、自然和宗教符号变成同一个系统，不只是奇怪装饰。,室内光线最重要。,必须 timed ticket。,https://sagradafamilia.org/en/,https://www.google.com/maps/search/?api=1&query=Sagrada%20Fam%C3%ADlia%2C%20Barcelona%2C%20Spain
33,Barcelona,Park Güell,"Park Güell, Barcelona, Spain",Must,1.5–2小时,上午/傍晚,除了 mosaic，还要看排水、桥廊、山坡如何处理。,蛇形长椅、viaduct、城市俯瞰。,它原本是 garden-city 开发项目，能看出 Gaudí 解决基础设施和地形的能力。,植物不是主角。,monumental zone 需时段。,https://parkguell.barcelona/en,https://www.google.com/maps/search/?api=1&query=Park%20G%C3%BCell%2C%20Barcelona%2C%20Spain
33,Barcelona,Casa Batlló,"Casa Batlló, Barcelona, Spain",Must,1.5–2小时,下午,从 façade→楼梯→light well→roof 连起来看。,蓝色采光井、骨骼形态、屋顶。,一栋普通城市住宅翻修改造，被 Gaudí 做成建筑、工艺和环境控制的 total work。,室内雨天佳。,时间不够可只选一栋 Gaudí house。,https://www.casabatllo.es/en/,https://www.google.com/maps/search/?api=1&query=Casa%20Batll%C3%B3%2C%20Barcelona%2C%20Spain
33,Barcelona,La Rambla,"La Rambla, Barcelona, Spain",Optional,45–60分钟,上午,当城市连接轴走，不要在那里耗半天。,街头生活、两侧不同街区入口。,历史上是 Barcelona 的社会公共轴线。,无秋色重点。,注意财物。,https://www.barcelonaturisme.com/,https://www.google.com/maps/search/?api=1&query=La%20Rambla%2C%20Barcelona%2C%20Spain
33,Barcelona,La Boqueria Market,"Mercat de la Boqueria, Barcelona, Spain",Optional,45–60分钟,上午,看食材、摊位与日常市场文化，不必专门排长队吃网红东西。,海鲜、火腿、水果、市场顶棚。,市场让 Gothic/Raval 一带的生活性重新出现，不只是旅游商品。,室内。,早一点。,https://www.boqueria.barcelona/,https://www.google.com/maps/search/?api=1&query=Mercat%20de%20la%20Boqueria%2C%20Barcelona%2C%20Spain
35,Madrid,Prado Museum,"Museo Nacional del Prado, Madrid, Spain",Must,3小时,上午,围绕 Velázquez、Goya、Bosch 建故事，不要试图把全馆刷完。,Las Meninas、Goya 前后期反差。,Prado 是西班牙王权、帝国、宫廷审美和后来失望情绪的视觉史。,坏天气最佳。,挑15-20件认真看。,https://www.museodelprado.es/en,https://www.google.com/maps/search/?api=1&query=Museo%20Nacional%20del%20Prado%2C%20Madrid%2C%20Spain
35,Madrid,Royal Palace of Madrid,"Royal Palace of Madrid, Spain",Must,1.5–2小时,上午,挑 state rooms 看 Bourbon 王室如何表达权力。,大楼梯、王座厅、宴会厅。,旧 Alcázar 火灾后，新王宫代表 Bourbon 王朝重新塑造 Madrid。,花园或有秋色。,timed entry。,https://www.patrimonionacional.es/en/visita/royal-palace-madrid,https://www.google.com/maps/search/?api=1&query=Royal%20Palace%20of%20Madrid%2C%20Spain
35,Madrid,Plaza Mayor,"Plaza Mayor, Madrid, Spain",Must,45–60分钟,晚上,从拱门进入，完整绕一圈再走旧城小巷。,封闭式广场、连续立面。,这里曾经是市场、庆典、国家仪式甚至惩罚的公共舞台。,夜景胜秋色。,和 old Madrid 连走。,https://www.esmadrid.com/en,https://www.google.com/maps/search/?api=1&query=Plaza%20Mayor%2C%20Madrid%2C%20Spain
35,Madrid,Retiro Park,"El Retiro Park, Madrid, Spain",Optional+,1.5–2小时,傍晚,从湖走到 Crystal Palace 和大道。,湖面、玻璃宫、树阵。,从王室园林转成 Madrid 的公共“呼吸空间”。,Madrid 追秋色最值得的点之一。,博物馆后恢复体力。,https://www.esmadrid.com/en,https://www.google.com/maps/search/?api=1&query=El%20Retiro%20Park%2C%20Madrid%2C%20Spain
35,Madrid,Santiago Bernabéu Stadium,"Santiago Bernabéu Stadium, Madrid, Spain",Optional,1.5–2小时,非比赛时段,如果喜欢足球就看 stadium tour；不喜欢就完全可跳。,球场规模、俱乐部历史陈列。,Real Madrid 的意义在于20世纪城市身份、国家与全球体育商业的叠加。,无秋色重点。,比赛日交通完全不同。,https://www.realmadrid.com/en-US/santiago-bernabeu-stadium,https://www.google.com/maps/search/?api=1&query=Santiago%20Bernab%C3%A9u%20Stadium%2C%20Madrid%2C%20Spain
37,Porto,Dom Luís I Bridge,"Dom Luís I Bridge, Porto, Portugal",Must,1小时,日落,走上层桥面，看 Ribeira 和 Gaia 两岸后再下去。,Douro 河谷、层叠城市、铁拱。,这座桥是工业时代如何解决陡峭河谷两岸连接的象征。,葡萄园山坡若未落尽会有晚秋色。,桥上风大。,https://visitporto.travel/en-GB,https://www.google.com/maps/search/?api=1&query=Dom%20Lu%C3%ADs%20I%20Bridge%2C%20Porto%2C%20Portugal
37,Porto,Livraria Lello,"Livraria Lello, Porto, Portugal",Optional,45–60分钟,预约时段,看木作、楼梯、stained glass；不要只沉迷 Harry Potter 传闻。,中庭楼梯和工艺。,它代表 Porto 近代城市的文学与商业文化。,室内。,太挤就跳过。,https://www.livrarialello.pt/en,https://www.google.com/maps/search/?api=1&query=Livraria%20Lello%2C%20Porto%2C%20Portugal
37,Porto,São Bento Station,"São Bento Station, Porto, Portugal",Must,30–45分钟,白天,站在主厅读蓝白 azulejo 画面。,瓷砖历史画、车站空间。,一个交通建筑被做成葡萄牙历史和乡村生活的视觉叙事。,室内短停。,顺路。,https://visitporto.travel/en-GB,https://www.google.com/maps/search/?api=1&query=S%C3%A3o%20Bento%20Station%2C%20Porto%2C%20Portugal
37,Porto,Douro Valley Wine Tasting,"Douro Valley, Portugal",Optional+,半天/全天,白天,只选一个 quinta 和几个景观点，不要一路喝。,梯田葡萄园、河弯、庄园。,这是人类几百年改造山坡、服务 port wine 生产形成的文化景观。,晚秋葡萄藤可能铜红/金黄。,自驾日不要大量品酒。,https://www.visitportugal.com/en/content/douro-valley,https://www.google.com/maps/search/?api=1&query=Douro%20Valley%2C%20Portugal
38,Sintra,Pena Palace,"Pena Palace, Sintra, Portugal",Must,2–3小时,第一时段,看 terraces 和山林位置，再挑重点室内。,彩色塔楼、雾林、山脊。,19世纪 Romanticism 故意把不同历史风格混成梦境。,雾、湿林、秋叶会增强气氛。,timed entry 和交通要先安排。,https://www.parquesdesintra.pt/en/,https://www.google.com/maps/search/?api=1&query=Pena%20Palace%2C%20Sintra%2C%20Portugal
38,Sintra,Cabo da Roca,"Cabo da Roca, Portugal",Optional+,45–60分钟,傍晚,离悬崖边保持安全距离，沿海岸线看，而不是只拍石碑。,Atlantic horizon、海崖。,对大航海时代的人来说，这类大陆边缘象征未知世界。,天气戏剧性胜秋叶。,风可能非常大。,https://www.visitcascais.com/en/poi/cabo-da-roca,https://www.google.com/maps/search/?api=1&query=Cabo%20da%20Roca%2C%20Portugal
38,Lisbon,Belém Tower,"Belém Tower, Lisbon, Portugal",Must,45–75分钟,上午,主要看外观与 Tagus 河环境；排长队时内部可不进。,Manueline 细节、河岸位置。,Belém 与葡萄牙海上扩张紧密相连，塔更像象征性门户。,河光更重要。,和 Jerónimos/蛋挞区一起走。,https://www.visitlisboa.com/en,https://www.google.com/maps/search/?api=1&query=Bel%C3%A9m%20Tower%2C%20Lisbon%2C%20Portugal
38,Lisbon,Tram 28,"Tram 28, Lisbon, Portugal",Optional,1–2小时,清晨,排队合理就坐；太挤则走它经过的坡城街区反而更好。,陡坡、窄弯、瓷砖房。,Tram 28 最有价值的是把 Lisbon 的陡峭地形和老街尺度显出来。,无秋色重点。,注意拥挤和财物。,https://www.visitlisboa.com/en,https://www.google.com/maps/search/?api=1&query=Tram%2028%2C%20Lisbon%2C%20Portugal
38,Sintra,Quinta da Regaleira,"Quinta da Regaleira, Sintra, Portugal",Must,2–3小时,上午/下午,把井、隧道、花园当一条“象征性探险路线”。,Initiation Well、洞穴、塔楼。,Romanticism、神秘主义符号和园林设计混成一场人为制造的神秘体验。,湿苔、落叶很加分。,雨天鞋要防滑。,https://www.regaleira.pt/en/,https://www.google.com/maps/search/?api=1&query=Quinta%20da%20Regaleira%2C%20Sintra%2C%20Portugal
40,Seville,Plaza de España,"Plaza de España, Seville, Spain",Must,1–1.5小时,傍晚,走完整半圆、桥和省份瓷砖，再上 gallery 看整体。,弧形立面、运河、瓷砖。,1929 Ibero-American Exposition 的国家形象工程。,暖夕阳非常好看。,免费户外。,https://visitasevilla.es/en/,https://www.google.com/maps/search/?api=1&query=Plaza%20de%20Espa%C3%B1a%2C%20Seville%2C%20Spain
40,Seville,Royal Alcázar of Seville,"Royal Alcázar of Seville, Spain",Must,2.5–3.5小时,上午,宫殿和花园连起来看，重点看水、阴影、瓷砖、几何。,Patio de las Doncellas、Mudéjar 细节。,最精彩的是 Islamic 形式如何在 Christian 王权下继续被使用和再解释。,花园深秋仍可能很绿。,强烈建议预约。,https://www.alcazarsevilla.org/en/,https://www.google.com/maps/search/?api=1&query=Royal%20Alc%C3%A1zar%20of%20Seville%2C%20Spain
40,Seville,Setas de Sevilla,"Setas de Sevilla, Seville, Spain",Optional+,45–75分钟,日落,上平台走一圈，用现代木结构俯瞰老城。,巨大木结构、城市屋顶。,它是新建筑如何插入历史城市中心的一次大胆实验。,日落比秋色重要。,夜间也不错。,https://visitasevilla.es/en/,https://www.google.com/maps/search/?api=1&query=Setas%20de%20Sevilla%2C%20Seville%2C%20Spain
40,Seville,Flamenco Show,"Triana, Seville, Spain",Optional+,1.5小时,晚上,选小型认真演出，注意 cante、baile、guitar 三者互动。,节奏、脚步、歌声张力。,Flamenco 是 Andalusia 多族群社会历史中形成的表达，不是“红裙舞表演”。,季节无关。,优先纯演出而非 dinner spectacle。,https://visitasevilla.es/en/,https://www.google.com/maps/search/?api=1&query=Triana%2C%20Seville%2C%20Spain
41,Granada,Alhambra,"Alhambra, Granada, Spain",Must,4–5小时,上午,Nasrid Palaces、Generalife 和 hilltop 位置一起看；重点是水、文字、几何和框景。,muqarnas、庭院、水渠、Sierra Nevada。,这是 Nasrid Granada 的权力顶峰，也带着即将终结的脆弱感。,Generalife 植被和冷空气很舒服。,Nasrid Palace timed entry 是核心。,https://www.alhambra-patronato.es/en,https://www.google.com/maps/search/?api=1&query=Alhambra%2C%20Granada%2C%20Spain
43,Valencia,City of Arts and Sciences,"City of Arts and Sciences, Valencia, Spain",Optional+,1.5–3小时,傍晚,即使不进馆，也完整走外部水池和长轴。,Calatrava 白色结构、倒影。,代表 Valencia 通过 spectacle architecture 重塑现代城市形象。,光线/倒影胜秋色。,和 Turia Gardens 串起来。,https://www.visitvalencia.com/en,https://www.google.com/maps/search/?api=1&query=City%20of%20Arts%20and%20Sciences%2C%20Valencia%2C%20Spain
44,Barcelona Ferry Port,Grimaldi Lines Overnight Car Ferry,"Port of Barcelona, Spain",Must if using ferry,过夜,傍晚登船,把它当“移动酒店”：提早到港、车内只留不需要的物品，上船带一晚包。,车辆登船流程、地中海日落、夜航。,渡轮把 Iberia 和 Italy 连接起来，同时避免一大段重复陆路驾驶。,秋景无关。,班期/港口/车辆规则出发前再次核对。,https://www.grimaldi-lines.com/,https://www.google.com/maps/search/?api=1&query=Port%20of%20Barcelona%2C%20Spain
44,Barcelona Ferry Port,Sea-view Private Cabin,"Port of Barcelona, Spain",Optional+,过夜,夜间,如果预算允许，订 private cabin；你第二天到 Italy 的精神状态会差很多。,海景、私人休息空间。,这不是奢侈打卡，而是把20小时海上转场变成真正恢复日。,季节无关。,确认 cabin 是否含窗/sea view。,https://www.grimaldi-lines.com/,https://www.google.com/maps/search/?api=1&query=Port%20of%20Barcelona%2C%20Spain
45,Rome,Colosseum,"Colosseum, Rome, Italy",Must,2小时,第一时段,重点理解 seating、circulation、spectacle logistics，不只看残墙。,arena、看台、地下结构。,它是一台组织数万观众与帝国娱乐的社会机器。,柔和晚秋光不错。,和 Forum 作为同一故事。,https://www.turismoroma.it/en/,https://www.google.com/maps/search/?api=1&query=Colosseum%2C%20Rome%2C%20Italy
45,Rome,Roman Forum,"Roman Forum, Rome, Italy",Must,2–3小时,白天,边走边想象这里同时存在法律、宗教、贸易和政治。,temples、basilicas、Palatine 视角。,这里是 Roman Republic/Empire 日常权力运行的中心。,石头和晚秋草木很有质感。,一定用讲解。,https://www.turismoroma.it/en/,https://www.google.com/maps/search/?api=1&query=Roman%20Forum%2C%20Rome%2C%20Italy
45,Vatican City,Vatican Museums,"Vatican Museums, Vatican City",Must,4小时,第一时段,古典雕塑→Raphael→Sistine Chapel，路线要克制。,Sistine、Laocoön、papal collections。,这是教皇如何收藏古代世界并用 Renaissance 艺术表达神学与权力。,室内。,不要同天塞太多。,https://www.museivaticani.va/,https://www.google.com/maps/search/?api=1&query=Vatican%20Museums%2C%20Vatican%20City
45,Rome,Trevi Fountain,"Trevi Fountain, Rome, Italy",Must,20–40分钟,清晨/深夜,人少时看，注意建筑 façade 如何直接变成水景舞台。,水、雕塑、狭窄广场。,Roman aqueduct 传统被 Baroque 戏剧化。,无秋色重点。,白天极挤。,https://www.turismoroma.it/en/,https://www.google.com/maps/search/?api=1&query=Trevi%20Fountain%2C%20Rome%2C%20Italy
45,Rome,Pantheon,"Pantheon, Rome, Italy",Optional+,1小时,中午,站在圆顶下多看几分钟，理解圆形空间和 oculus 光线。,混凝土圆顶、oculus。,古罗马建筑被改成教堂，因此保存异常完整。,雨从 oculus 进来也很有意思。,查看当前票务。,https://www.pantheonroma.com/,https://www.google.com/maps/search/?api=1&query=Pantheon%2C%20Rome%2C%20Italy
45,Rome,Spanish Steps,"Spanish Steps, Rome, Italy",Optional,30–45分钟,清晨/晚上,走完整段阶梯，连 Piazza di Spagna 和 Trinità dei Monti 一起看。,城市坡度、Baroque 视线。,它把高低两层城市空间变成一个公共剧场。,盆栽/树色不是主角。,顺路即可。,https://www.turismoroma.it/en/,https://www.google.com/maps/search/?api=1&query=Spanish%20Steps%2C%20Rome%2C%20Italy
46,Florence,Florence Duomo,"Florence Cathedral, Italy",Must,2–3小时,上午,外墙、Baptistery、Brunelleschi dome 连成一个工程故事；有体力再爬。,巨大穹顶、marble façade、城市天际线。,这个穹顶解决了当时没人知道怎么盖的大跨度问题，是 Renaissance 工程自信的象征。,Tuscany hills 可能还有晚秋色。,爬楼预订且楼梯多。,https://www.feelflorence.it/en,https://www.google.com/maps/search/?api=1&query=Florence%20Cathedral%2C%20Italy
46,Florence,Uffizi Gallery,"Uffizi Gallery, Florence, Italy",Must,3小时,上午,按“中世纪平面圣像→Renaissance 空间、人、身体”看演变。,Botticelli、Leonardo、Michelangelo。,不是名画清单，而是一条 Renaissance 视觉革命时间线。,室内。,预约。,https://www.uffizi.it/en,https://www.google.com/maps/search/?api=1&query=Uffizi%20Gallery%2C%20Florence%2C%20Italy
46,Tuscany,Chianti Cypress Road Driving,"Chianti, Tuscany, Italy",Must,半天,傍晚,只做一条短 loop：一个 hill town + 一个 vineyard viewpoint，停下来比多开里程重要。,cypress、葡萄园、石屋。,“Tuscany 风景”其实是几百年农业和庄园经营塑造的人文景观。,葡萄藤晚秋可能红金色。,品酒与驾驶分开。,https://www.visittuscany.com/en/,https://www.google.com/maps/search/?api=1&query=Chianti%2C%20Tuscany%2C%20Italy
46,Tuscany,Leaning Tower of Pisa,"Leaning Tower of Pisa, Italy",Optional,2–3小时含绕路,上午,看整个 Piazza dei Miracoli，不要只抱着斜塔拍。,塔、cathedral、baptistery。,地基问题造成倾斜，工程缺陷反而变成世界图标。,季节次要。,时间紧就让位给 Tuscany 慢游。,https://www.opapisa.it/en/,https://www.google.com/maps/search/?api=1&query=Leaning%20Tower%20of%20Pisa%2C%20Italy
47,Venice,St. Mark's Square,"St. Mark's Square, Venice, Italy",Must,2–3小时,清晨,在游客到达前看 Basilica、Campanile、Doge's Palace 一起构图。,Byzantine mosaics、piazza、lagoon light。,Venice 不是普通意大利城市，而是与东地中海贸易深度相连的海上共和国。,雾和低秋光很有气氛。,注意 acqua alta。,https://www.veneziaunica.it/en,https://www.google.com/maps/search/?api=1&query=St.%20Mark%27s%20Square%2C%20Venice%2C%20Italy
47,Venice,Grand Canal Gondola,"Grand Canal, Venice, Italy",Optional,30分钟,傍晚,若坐 gondola，尽量选安静支运河，用低视角看水门和桥。,小运河、水上入口、低角度城市。,真正价值是体验“水就是街道”的城市尺度。,阴冷秋夜反而有味道。,上船前确认路线和价格。,https://www.veneziaunica.it/en,https://www.google.com/maps/search/?api=1&query=Grand%20Canal%2C%20Venice%2C%20Italy
47,Venice,Bridge of Sighs,"Bridge of Sighs, Venice, Italy",Optional,20–30分钟,清晨,从 Ponte della Paglia 看外观；若参观 Doge's Palace，再从内部走过。,封闭白石桥、宫殿与监狱连接。,浪漫名字背后其实是司法与监禁体系的一部分。,无秋色重点。,顺路，不需要单独跑。,https://palazzoducale.visitmuve.it/en/,https://www.google.com/maps/search/?api=1&query=Bridge%20of%20Sighs%2C%20Venice%2C%20Italy
47,Venice,Burano Island,"Burano, Venice, Italy",Optional,半天,上午,离开码头前几条最拥挤的彩色街，走更深一点。,彩房、运河、渔村尺度。,颜色背后是 lagoon fishing community，不只是“彩色网红岛”。,全年有色。,天气差可跳过。,https://www.veneziaunica.it/en,https://www.google.com/maps/search/?api=1&query=Burano%2C%20Venice%2C%20Italy
48,Ljubljana,Ljubljana Old Town & Castle,"Ljubljana Castle, Slovenia",Must,2–3小时,下午,先走河岸与 Plečnik 城市空间，再上 castle 看盆地。,Triple Bridge、河、城堡。,城市最有趣的是 Habsburg 基底如何被 Plečnik 用20世纪设计重新组织。,河岸树可能仍有颜色。,恢复日。,https://www.visitljubljana.com/en/,https://www.google.com/maps/search/?api=1&query=Ljubljana%20Castle%2C%20Slovenia
49,Plitvice Lakes,Plitvice Boardwalks,"Plitvice Lakes National Park, Croatia",Must,4–6小时,上午,按官方季节开放路线选择，不要为了“全走完”赶路。,梯级湖、钙华坝、栈道。,水中矿物不断沉积，地形仍在形成，是“活着的地质景观”。,森林有机会很美，但到晚11月可能已过峰。,查船/接驳/冰雪状态。,https://np-plitvicka-jezera.hr/en/,https://www.google.com/maps/search/?api=1&query=Plitvice%20Lakes%20National%20Park%2C%20Croatia
50,Split,Diocletian's Palace,"Diocletian's Palace, Split, Croatia",Must,2–3小时,傍晚,看 cellars、Peristyle，再注意居民、咖啡馆如何直接住进 Roman palace 里。,Roman masonry、Peristyle、生活街巷。,它不是遗址公园，而是晚罗马帝国宫殿逐渐长成现代城市。,石墙夕阳好看。,用好讲解。,https://visitsplit.com/en/,https://www.google.com/maps/search/?api=1&query=Diocletian%27s%20Palace%2C%20Split%2C%20Croatia
51,Dubrovnik,Old Town Walls Walk,"Dubrovnik City Walls, Croatia",Must,2–3小时,第一时段/傍晚,尽量走完整圈，分别看海侧和陆侧防御。,红屋顶、forts、Adriatic。,Ragusa 靠贸易、外交和坚固城防在大国夹缝中维持独立。,晚秋游客少。,台阶多、风雨影响大。,https://tzdubrovnik.hr/lang/en/,https://www.google.com/maps/search/?api=1&query=Dubrovnik%20City%20Walls%2C%20Croatia
51,Dubrovnik,Mt. Srđ Cable Car,"Mount Srđ Cable Car, Dubrovnik, Croatia",Must if clear,1.5–2小时,日落,上去后不要只拍 Old Town，连 Lokrum、港口、山地边界一起看。,完整城市平面和海岸。,从高处才能真正理解 Dubrovnik 为什么能防守、为什么必须面向海。,清冷空气能见度好。,缆车天气依赖。,https://www.dubrovnikcablecar.com/,https://www.google.com/maps/search/?api=1&query=Mount%20Sr%C4%91%20Cable%20Car%2C%20Dubrovnik%2C%20Croatia
51,Dubrovnik,Lokrum Island,"Lokrum, Croatia",Optional,3–4小时,白天,若晚季仍有船才去；以自然和 monastery ruins 为主。,松林、岩岸、修道院遗迹。,它是 Dubrovnik 城外的自然/宗教避世空间。,季节船班决定价值。,晚11月很可能不值得强求。,https://www.lokrum.hr/eng/,https://www.google.com/maps/search/?api=1&query=Lokrum%2C%20Croatia
51,Original Route Alternative,Ancona-Patras Superfast Ferry,"Port of Ancona, Italy",Alternative only,过夜,按船期,这是原路线方案，但秋景版不建议从 Dubrovnik 再倒回 Ancona。,车辆夜渡、Adriatic crossing。,海渡本身合理，问题是 Dubrovnik→Ancona 会制造巨大回头路。,季节无关。,保留为备用，不做主线。,https://www.superfast.com/,https://www.google.com/maps/search/?api=1&query=Port%20of%20Ancona%2C%20Italy
51,Original Route Alternative,Sea-view Private Cabin (Ancona-Patras),"Port of Ancona, Italy",Alternative only,过夜,夜间,如果未来改回此线，private cabin 仍值得。,睡眠质量。,长渡轮夜真正影响第二天驾驶安全和体验。,季节无关。,确认车辆和 cabin 条款。,https://www.superfast.com/,https://www.google.com/maps/search/?api=1&query=Port%20of%20Ancona%2C%20Italy
52,Kotor,Kotor Old Town,"Kotor, Montenegro",Must,2–4小时,上午,古城走完后，体力和天气允许再爬一段 fortress path。,海湾、城墙、黑山压迫感。,受保护海湾让 Kotor 成为重要 Adriatic trade node，并长期受 Venetian 影响。,晚季山色仍可能有层次。,湿石阶滑。,https://www.montenegro.travel/en,https://www.google.com/maps/search/?api=1&query=Kotor%2C%20Montenegro
53,Shkodër,Rozafa Castle,"Rozafa Castle, Shkodër, Albania",Must,1.5–2小时,傍晚,上城墙看河流/湖泊，再带着 Rozafa 建城牺牲传说走。,三河/湖区视野、残墙。,“把女子砌进城墙”传说让堡垒成为 Albanian 文化记忆的一部分。,晚秋雾气有戏剧性。,短而值。,https://albania.al/,https://www.google.com/maps/search/?api=1&query=Rozafa%20Castle%2C%20Shkod%C3%ABr%2C%20Albania
54,Gjirokastër,Gjirokastër Castle & Bazaar,"Gjirokastër, Albania",Must,3–4小时,上午,先 fortress，再下坡走石板街和传统大宅。,石屋屋顶、堡垒、山谷。,City of Stone 展示 Ottoman-era 城市如何适应陡坡和防御需求。,裸露石材与晚季山色很有质感。,坡陡。,https://albania.al/,https://www.google.com/maps/search/?api=1&query=Gjirokast%C3%ABr%2C%20Albania
55,Ioannina,Ioannina Castle & Lake Pamvotis,"Ioannina, Greece",Must,2–3小时,傍晚,城堡旧区+湖边连走。,湖、城墙、岛景。,Byzantine、Ottoman、Greek、Jewish 历史在这里层层叠加。,湖雾很有感觉。,恢复日。,https://www.visitgreece.gr/,https://www.google.com/maps/search/?api=1&query=Ioannina%2C%20Greece
57,Athens,Acropolis,"Acropolis of Athens, Greece",Must,2–3小时,第一时段,从 Propylaea 进入后，不要只盯 Parthenon；看整座 sacred hill 和 Athens。,Parthenon、Erechtheion、城市全景。,这里是宗教、国家和公民身份的高地表达。,冬前清晰空气很适合远望。,大理石雨后滑。,https://www.thisisathens.org/,https://www.google.com/maps/search/?api=1&query=Acropolis%20of%20Athens%2C%20Greece
57,Athens,Parthenon,"Parthenon, Athens, Greece",Must,包含在 Acropolis,上午,重点看比例、柱子细微修正和它在整座山上的位置。,Doric order、视觉修正。,它不是“完美直线”的建筑，反而用大量微小曲线修正人眼视觉。,季节不是主角。,不要和 Acropolis 重复买时间。,https://www.thisisathens.org/,https://www.google.com/maps/search/?api=1&query=Parthenon%2C%20Athens%2C%20Greece
